"Notes"	"Cause of death"	"Cause of death Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Deaths"	"Population"	"Crude Rate"	"Crude Rate Lower 95% Confidence Interval"	"Crude Rate Upper 95% Confidence Interval"	"Crude Rate Standard Error"	"% of Total Deaths"
	"Tetralogy of Fallot"	"Q21.3"	"80-84 years"	"80-84"	12	49947616	Unreliable	0.0	0.0	0.0	0.0%
	"Other congenital malformations of cardiac septa"	"Q21.8"	"< 1 year"	"1"	26	44436653	0.1	0.0	0.1	0.0	0.0%
	"Other congenital malformations of cardiac septa"	"Q21.8"	"20-24 years"	"20-24"	10	239951389	Unreliable	0.0	0.0	0.0	0.0%
	"Other congenital malformations of cardiac septa"	"Q21.8"	"25-29 years"	"25-29"	13	234285878	Unreliable	0.0	0.0	0.0	0.0%
	"Other congenital malformations of cardiac septa"	"Q21.8"	"30-34 years"	"30-34"	26	229872405	0.0	0.0	0.0	0.0	0.0%
	"Other congenital malformations of cardiac septa"	"Q21.8"	"35-39 years"	"35-39"	33	230611430	0.0	0.0	0.0	0.0	0.0%
	"Other congenital malformations of cardiac septa"	"Q21.8"	"40-44 years"	"40-44"	36	232968123	0.0	0.0	0.0	0.0	0.0%
	"Other congenital malformations of cardiac septa"	"Q21.8"	"45-49 years"	"45-49"	19	232932105	Unreliable	0.0	0.0	0.0	0.0%
	"Other congenital malformations of cardiac septa"	"Q21.8"	"50-54 years"	"50-54"	22	223575070	0.0	0.0	0.0	0.0	0.0%
	"Other congenital malformations of cardiac septa"	"Q21.8"	"55-59 years"	"55-59"	26	201411886	0.0	0.0	0.0	0.0	0.0%
	"Other congenital malformations of cardiac septa"	"Q21.8"	"60-64 years "	"60-64"	11	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Other congenital malformations of cardiac septa"	"Q21.8"	"65-69 years"	"65-69"	16	133793292	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital malformation of cardiac septum, unspecified"	"Q21.9"	"< 1 year"	"1"	14	44436653	Unreliable	0.0	0.1	0.0	0.0%
	"Congenital malformation of cardiac septum, unspecified"	"Q21.9"	"50-54 years"	"50-54"	10	223575070	Unreliable	0.0	0.0	0.0	0.0%
	"Pulmonary valve atresia"	"Q22.0"	"< 1 year"	"1"	29	44436653	0.1	0.0	0.1	0.0	0.0%
	"Congenital pulmonary valve stenosis"	"Q22.1"	"< 1 year"	"1"	28	44436653	0.1	0.0	0.1	0.0	0.0%
	"Other congenital malformations of pulmonary valve"	"Q22.3"	"< 1 year"	"1"	19	44436653	Unreliable	0.0	0.1	0.0	0.0%
	"Congenital tricuspid stenosis"	"Q22.4"	"< 1 year"	"1"	90	44436653	0.2	0.2	0.2	0.0	0.0%
	"Congenital tricuspid stenosis"	"Q22.4"	"1-4 years"	"1-4"	17	178140207	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital tricuspid stenosis"	"Q22.4"	"10-14 years"	"10-14"	10	234284030	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital tricuspid stenosis"	"Q22.4"	"15-19 years"	"15-19"	19	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital tricuspid stenosis"	"Q22.4"	"20-24 years"	"20-24"	22	239951389	0.0	0.0	0.0	0.0	0.0%
	"Congenital tricuspid stenosis"	"Q22.4"	"25-29 years"	"25-29"	20	234285878	0.0	0.0	0.0	0.0	0.0%
	"Congenital tricuspid stenosis"	"Q22.4"	"30-34 years"	"30-34"	17	229872405	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital tricuspid stenosis"	"Q22.4"	"35-39 years"	"35-39"	18	230611430	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital tricuspid stenosis"	"Q22.4"	"40-44 years"	"40-44"	16	232968123	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital tricuspid stenosis"	"Q22.4"	"45-49 years"	"45-49"	13	232932105	Unreliable	0.0	0.0	0.0	0.0%
	"Ebstein anomaly"	"Q22.5"	"< 1 year"	"1"	275	44436653	0.6	0.5	0.7	0.0	0.0%
	"Ebstein anomaly"	"Q22.5"	"1-4 years"	"1-4"	13	178140207	Unreliable	0.0	0.0	0.0	0.0%
	"Ebstein anomaly"	"Q22.5"	"5-9 years"	"5-9"	10	226500076	Unreliable	0.0	0.0	0.0	0.0%
	"Ebstein anomaly"	"Q22.5"	"10-14 years"	"10-14"	17	234284030	Unreliable	0.0	0.0	0.0	0.0%
	"Ebstein anomaly"	"Q22.5"	"15-19 years"	"15-19"	17	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Ebstein anomaly"	"Q22.5"	"20-24 years"	"20-24"	15	239951389	Unreliable	0.0	0.0	0.0	0.0%
	"Ebstein anomaly"	"Q22.5"	"25-29 years"	"25-29"	13	234285878	Unreliable	0.0	0.0	0.0	0.0%
	"Ebstein anomaly"	"Q22.5"	"30-34 years"	"30-34"	16	229872405	Unreliable	0.0	0.0	0.0	0.0%
	"Ebstein anomaly"	"Q22.5"	"35-39 years"	"35-39"	12	230611430	Unreliable	0.0	0.0	0.0	0.0%
	"Ebstein anomaly"	"Q22.5"	"40-44 years"	"40-44"	13	232968123	Unreliable	0.0	0.0	0.0	0.0%
	"Ebstein anomaly"	"Q22.5"	"45-49 years"	"45-49"	12	232932105	Unreliable	0.0	0.0	0.0	0.0%
	"Ebstein anomaly"	"Q22.5"	"60-64 years "	"60-64"	12	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Ebstein anomaly"	"Q22.5"	"65-69 years"	"65-69"	16	133793292	Unreliable	0.0	0.0	0.0	0.0%
	"Ebstein anomaly"	"Q22.5"	"70-74 years"	"70-74"	12	102736281	Unreliable	0.0	0.0	0.0	0.0%
	"Ebstein anomaly"	"Q22.5"	"75-79 years"	"75-79"	11	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Hypoplastic right heart syndrome"	"Q22.6"	"< 1 year"	"1"	74	44436653	0.2	0.1	0.2	0.0	0.0%
	"Other congenital malformations of tricuspid valve"	"Q22.8"	"< 1 year"	"1"	31	44436653	0.1	0.0	0.1	0.0	0.0%
	"Congenital malformation of tricuspid valve, unspecified"	"Q22.9"	"< 1 year"	"1"	20	44436653	0.0	0.0	0.1	0.0	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"< 1 year"	"1"	325	44436653	0.7	0.7	0.8	0.0	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"1-4 years"	"1-4"	14	178140207	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"5-9 years"	"5-9"	16	226500076	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"10-14 years"	"10-14"	14	234284030	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"15-19 years"	"15-19"	21	239483577	0.0	0.0	0.0	0.0	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"20-24 years"	"20-24"	15	239951389	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"30-34 years"	"30-34"	19	229872405	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"35-39 years"	"35-39"	23	230611430	0.0	0.0	0.0	0.0	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"40-44 years"	"40-44"	26	232968123	0.0	0.0	0.0	0.0	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"45-49 years"	"45-49"	28	232932105	0.0	0.0	0.0	0.0	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"50-54 years"	"50-54"	21	223575070	0.0	0.0	0.0	0.0	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"55-59 years"	"55-59"	19	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"60-64 years "	"60-64"	13	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"80-84 years"	"80-84"	14	49947616	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"85-89 years"	"85-89"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Congenital stenosis of aortic valve"	"Q23.0"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"< 1 year"	"1"	55	44436653	0.1	0.1	0.2	0.0	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"15-19 years"	"15-19"	23	239483577	0.0	0.0	0.0	0.0	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"20-24 years"	"20-24"	35	239951389	0.0	0.0	0.0	0.0	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"25-29 years"	"25-29"	60	234285878	0.0	0.0	0.0	0.0	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"30-34 years"	"30-34"	76	229872405	0.0	0.0	0.0	0.0	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"35-39 years"	"35-39"	109	230611430	0.0	0.0	0.1	0.0	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"40-44 years"	"40-44"	154	232968123	0.1	0.1	0.1	0.0	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"45-49 years"	"45-49"	213	232932105	0.1	0.1	0.1	0.0	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"50-54 years"	"50-54"	210	223575070	0.1	0.1	0.1	0.0	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"55-59 years"	"55-59"	233	201411886	0.1	0.1	0.1	0.0	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"60-64 years "	"60-64"	157	168055475	0.1	0.1	0.1	0.0	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"65-69 years"	"65-69"	118	133793292	0.1	0.1	0.1	0.0	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"70-74 years"	"70-74"	77	102736281	0.1	0.1	0.1	0.0	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"75-79 years"	"75-79"	36	75129413	0.0	0.0	0.1	0.0	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"80-84 years"	"80-84"	31	49947616	0.1	0.0	0.1	0.0	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"85-89 years"	"85-89"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Congenital insufficiency of aortic valve"	"Q23.1"	"90-94 years"	"90-94"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Congenital mitral stenosis"	"Q23.2"	"< 1 year"	"1"	33	44436653	0.1	0.1	0.1	0.0	0.0%
	"Congenital mitral stenosis"	"Q23.2"	"1-4 years"	"1-4"	16	178140207	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital mitral insufficiency"	"Q23.3"	"< 1 year"	"1"	55	44436653	0.1	0.1	0.2	0.0	0.0%
	"Hypoplastic left heart syndrome"	"Q23.4"	"< 1 year"	"1"	3585	44436653	8.1	7.8	8.3	0.1	0.0%
	"Hypoplastic left heart syndrome"	"Q23.4"	"1-4 years"	"1-4"	383	178140207	0.2	0.2	0.2	0.0	0.0%
	"Hypoplastic left heart syndrome"	"Q23.4"	"5-9 years"	"5-9"	113	226500076	0.0	0.0	0.1	0.0	0.0%
	"Hypoplastic left heart syndrome"	"Q23.4"	"10-14 years"	"10-14"	64	234284030	0.0	0.0	0.0	0.0	0.0%
	"Hypoplastic left heart syndrome"	"Q23.4"	"15-19 years"	"15-19"	75	239483577	0.0	0.0	0.0	0.0	0.0%
	"Hypoplastic left heart syndrome"	"Q23.4"	"20-24 years"	"20-24"	37	239951389	0.0	0.0	0.0	0.0	0.0%
	"Hypoplastic left heart syndrome"	"Q23.4"	"25-29 years"	"25-29"	17	234285878	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital malformation of aortic and mitral valves, unspecified"	"Q23.9"	"< 1 year"	"1"	29	44436653	0.1	0.0	0.1	0.0	0.0%
	"Congenital malformation of aortic and mitral valves, unspecified"	"Q23.9"	"15-19 years"	"15-19"	10	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital malformation of aortic and mitral valves, unspecified"	"Q23.9"	"30-34 years"	"30-34"	18	229872405	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital malformation of aortic and mitral valves, unspecified"	"Q23.9"	"35-39 years"	"35-39"	16	230611430	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital malformation of aortic and mitral valves, unspecified"	"Q23.9"	"40-44 years"	"40-44"	15	232968123	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital malformation of aortic and mitral valves, unspecified"	"Q23.9"	"45-49 years"	"45-49"	24	232932105	0.0	0.0	0.0	0.0	0.0%
	"Congenital malformation of aortic and mitral valves, unspecified"	"Q23.9"	"50-54 years"	"50-54"	21	223575070	0.0	0.0	0.0	0.0	0.0%
	"Congenital malformation of aortic and mitral valves, unspecified"	"Q23.9"	"55-59 years"	"55-59"	14	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital malformation of aortic and mitral valves, unspecified"	"Q23.9"	"75-79 years"	"75-79"	10	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Dextrocardia"	"Q24.0"	"< 1 year"	"1"	25	44436653	0.1	0.0	0.1	0.0	0.0%
	"Congenital subaortic stenosis"	"Q24.4"	"1-4 years"	"1-4"	10	178140207	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital subaortic stenosis"	"Q24.4"	"10-14 years"	"10-14"	11	234284030	Unreliable	0.0	0.0	0.0	0.0%
	"Congenital subaortic stenosis"	"Q24.4"	"30-34 years"	"30-34"	12	229872405	Unreliable	0.0	0.0	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"< 1 year"	"1"	175	44436653	0.4	0.3	0.5	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"1-4 years"	"1-4"	58	178140207	0.0	0.0	0.0	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"5-9 years"	"5-9"	49	226500076	0.0	0.0	0.0	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"10-14 years"	"10-14"	115	234284030	0.0	0.0	0.1	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"15-19 years"	"15-19"	259	239483577	0.1	0.1	0.1	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"20-24 years"	"20-24"	189	239951389	0.1	0.1	0.1	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"25-29 years"	"25-29"	195	234285878	0.1	0.1	0.1	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"30-34 years"	"30-34"	168	229872405	0.1	0.1	0.1	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"35-39 years"	"35-39"	169	230611430	0.1	0.1	0.1	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"40-44 years"	"40-44"	168	232968123	0.1	0.1	0.1	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"45-49 years"	"45-49"	173	232932105	0.1	0.1	0.1	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"50-54 years"	"50-54"	120	223575070	0.1	0.0	0.1	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"55-59 years"	"55-59"	105	201411886	0.1	0.0	0.1	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"60-64 years "	"60-64"	63	168055475	0.0	0.0	0.0	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"65-69 years"	"65-69"	29	133793292	0.0	0.0	0.0	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"70-74 years"	"70-74"	30	102736281	0.0	0.0	0.0	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"75-79 years"	"75-79"	33	75129413	0.0	0.0	0.1	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"80-84 years"	"80-84"	20	49947616	0.0	0.0	0.1	0.0	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"85-89 years"	"85-89"	33	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Malformation of coronary vessels"	"Q24.5"	"90-94 years"	"90-94"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Congenital heart block"	"Q24.6"	"< 1 year"	"1"	82	44436653	0.2	0.1	0.2	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"< 1 year"	"1"	509	44436653	1.1	1.0	1.2	0.1	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"1-4 years"	"1-4"	46	178140207	0.0	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"5-9 years"	"5-9"	14	226500076	Unreliable	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"10-14 years"	"10-14"	20	234284030	0.0	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"15-19 years"	"15-19"	53	239483577	0.0	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"20-24 years"	"20-24"	48	239951389	0.0	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"25-29 years"	"25-29"	40	234285878	0.0	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"30-34 years"	"30-34"	37	229872405	0.0	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"35-39 years"	"35-39"	32	230611430	0.0	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"40-44 years"	"40-44"	54	232968123	0.0	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"45-49 years"	"45-49"	38	232932105	0.0	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"50-54 years"	"50-54"	40	223575070	0.0	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"55-59 years"	"55-59"	32	201411886	0.0	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"60-64 years "	"60-64"	26	168055475	0.0	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"65-69 years"	"65-69"	22	133793292	0.0	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"70-74 years"	"70-74"	27	102736281	0.0	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"75-79 years"	"75-79"	17	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"80-84 years"	"80-84"	16	49947616	Unreliable	0.0	0.1	0.0	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"85-89 years"	"85-89"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other specified congenital malformations of heart"	"Q24.8"	"90-94 years"	"90-94"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"< 1 year"	"1"	6665	44436653	15.0	14.6	15.4	0.2	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"1-4 years"	"1-4"	1069	178140207	0.6	0.6	0.6	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"5-9 years"	"5-9"	325	226500076	0.1	0.1	0.2	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"10-14 years"	"10-14"	338	234284030	0.1	0.1	0.2	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"15-19 years"	"15-19"	534	239483577	0.2	0.2	0.2	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"20-24 years"	"20-24"	491	239951389	0.2	0.2	0.2	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"25-29 years"	"25-29"	519	234285878	0.2	0.2	0.2	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"30-34 years"	"30-34"	468	229872405	0.2	0.2	0.2	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"35-39 years"	"35-39"	401	230611430	0.2	0.2	0.2	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"40-44 years"	"40-44"	390	232968123	0.2	0.2	0.2	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"45-49 years"	"45-49"	330	232932105	0.1	0.1	0.2	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"50-54 years"	"50-54"	276	223575070	0.1	0.1	0.1	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"55-59 years"	"55-59"	201	201411886	0.1	0.1	0.1	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"60-64 years "	"60-64"	181	168055475	0.1	0.1	0.1	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"65-69 years"	"65-69"	118	133793292	0.1	0.1	0.1	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"70-74 years"	"70-74"	76	102736281	0.1	0.1	0.1	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"75-79 years"	"75-79"	68	75129413	0.1	0.1	0.1	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"80-84 years"	"80-84"	56	49947616	0.1	0.1	0.1	0.0	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"85-89 years"	"85-89"	49	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Congenital malformation of heart, unspecified"	"Q24.9"	"90-94 years"	"90-94"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Patent ductus arteriosus"	"Q25.0"	"< 1 year"	"1"	508	44436653	1.1	1.0	1.2	0.1	0.0%
	"Coarctation of aorta"	"Q25.1"	"< 1 year"	"1"	323	44436653	0.7	0.6	0.8	0.0	0.0%
	"Coarctation of aorta"	"Q25.1"	"1-4 years"	"1-4"	11	178140207	Unreliable	0.0	0.0	0.0	0.0%
	"Coarctation of aorta"	"Q25.1"	"10-14 years"	"10-14"	14	234284030	Unreliable	0.0	0.0	0.0	0.0%
	"Coarctation of aorta"	"Q25.1"	"15-19 years"	"15-19"	16	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Coarctation of aorta"	"Q25.1"	"20-24 years"	"20-24"	26	239951389	0.0	0.0	0.0	0.0	0.0%
	"Coarctation of aorta"	"Q25.1"	"25-29 years"	"25-29"	19	234285878	Unreliable	0.0	0.0	0.0	0.0%
	"Coarctation of aorta"	"Q25.1"	"30-34 years"	"30-34"	28	229872405	0.0	0.0	0.0	0.0	0.0%
	"Coarctation of aorta"	"Q25.1"	"35-39 years"	"35-39"	27	230611430	0.0	0.0	0.0	0.0	0.0%
	"Coarctation of aorta"	"Q25.1"	"40-44 years"	"40-44"	18	232968123	Unreliable	0.0	0.0	0.0	0.0%
	"Coarctation of aorta"	"Q25.1"	"45-49 years"	"45-49"	22	232932105	0.0	0.0	0.0	0.0	0.0%
	"Coarctation of aorta"	"Q25.1"	"50-54 years"	"50-54"	26	223575070	0.0	0.0	0.0	0.0	0.0%
	"Coarctation of aorta"	"Q25.1"	"55-59 years"	"55-59"	12	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Coarctation of aorta"	"Q25.1"	"60-64 years "	"60-64"	17	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Coarctation of aorta"	"Q25.1"	"75-79 years"	"75-79"	10	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Stenosis of aorta"	"Q25.3"	"< 1 year"	"1"	12	44436653	Unreliable	0.0	0.0	0.0	0.0%
	"Stenosis of aorta"	"Q25.3"	"75-79 years"	"75-79"	17	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Stenosis of aorta"	"Q25.3"	"80-84 years"	"80-84"	18	49947616	Unreliable	0.0	0.1	0.0	0.0%
	"Stenosis of aorta"	"Q25.3"	"85-89 years"	"85-89"	31	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Stenosis of aorta"	"Q25.3"	"90-94 years"	"90-94"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other congenital malformations of aorta"	"Q25.4"	"< 1 year"	"1"	46	44436653	0.1	0.1	0.1	0.0	0.0%
	"Other congenital malformations of aorta"	"Q25.4"	"15-19 years"	"15-19"	12	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Other congenital malformations of aorta"	"Q25.4"	"20-24 years"	"20-24"	13	239951389	Unreliable	0.0	0.0	0.0	0.0%
	"Other congenital malformations of aorta"	"Q25.4"	"25-29 years"	"25-29"	17	234285878	Unreliable	0.0	0.0	0.0	0.0%
	"Other congenital malformations of aorta"	"Q25.4"	"30-34 years"	"30-34"	10	229872405	Unreliable	0.0	0.0	0.0	0.0%
	"Other congenital malformations of aorta"	"Q25.4"	"35-39 years"	"35-39"	21	230611430	0.0	0.0	0.0	0.0	0.0%
	"Other congenital malformations of aorta"	"Q25.4"	"40-44 years"	"40-44"	15	232968123	Unreliable	0.0	0.0	0.0	0.0%
	"Other congenital malformations of aorta"	"Q25.4"	"45-49 years"	"45-49"	27	232932105	0.0	0.0	0.0	0.0	0.0%
	"Other congenital malformations of aorta"	"Q25.4"	"50-54 years"	"50-54"	18	223575070	Unreliable	0.0	0.0	0.0	0.0%
	"Other congenital malformations of aorta"	"Q25.4"	"60-64 years "	"60-64"	14	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Other congenital malformations of aorta"	"Q25.4"	"65-69 years"	"65-69"	10	133793292	Unreliable	0.0	0.0	0.0	0.0%
	"Other congenital malformations of aorta"	"Q25.4"	"70-74 years"	"70-74"	14	102736281	Unreliable	0.0	0.0	0.0	0.0%
	"Other congenital malformations of aorta"	"Q25.4"	"80-84 years"	"80-84"	15	49947616	Unreliable	0.0	0.0	0.0	0.0%
	"Atresia of pulmonary artery"	"Q25.5"	"< 1 year"	"1"	363	44436653	0.8	0.7	0.9	0.0	0.0%
	"Atresia of pulmonary artery"	"Q25.5"	"1-4 years"	"1-4"	34	178140207	0.0	0.0	0.0	0.0	0.0%
	"Atresia of pulmonary artery"	"Q25.5"	"15-19 years"	"15-19"	16	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Atresia of pulmonary artery"	"Q25.5"	"20-24 years"	"20-24"	14	239951389	Unreliable	0.0	0.0	0.0	0.0%
	"Stenosis of pulmonary artery"	"Q25.6"	"< 1 year"	"1"	159	44436653	0.4	0.3	0.4	0.0	0.0%
	"Stenosis of pulmonary artery"	"Q25.6"	"1-4 years"	"1-4"	57	178140207	0.0	0.0	0.0	0.0	0.0%
	"Stenosis of pulmonary artery"	"Q25.6"	"15-19 years"	"15-19"	11	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Stenosis of pulmonary artery"	"Q25.6"	"40-44 years"	"40-44"	10	232968123	Unreliable	0.0	0.0	0.0	0.0%
	"Stenosis of pulmonary artery"	"Q25.6"	"45-49 years"	"45-49"	11	232932105	Unreliable	0.0	0.0	0.0	0.0%
	"Stenosis of pulmonary artery"	"Q25.6"	"60-64 years "	"60-64"	12	168055475	Unreliable	0.0	0.0	0.0	0.0%
